City_ID,City,Lat,lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
37,nova sintra,14.8667,-24.7167,294.68,84,52,5.85,CV,1687125130
38,cidreira,-30.1811,-50.2056,284.07,70,0,3.29,BR,1687125130
39,aligudarz,33.4006,49.6949,290.93,23,0,0.93,IR,1687125131
40,sussex,41.1834,-74.6663,298.5,58,100,1.54,US,1687125131
41,nemuro,43.3236,145.575,283.84,82,26,6.46,JP,1687124980
42,hawaiian paradise park,19.5933,-154.9731,300.95,71,75,3.09,US,1687124988
43,kidal,18.4411,1.4078,307.62,27,5,4.55,ML,1687125131
44,lebu,-37.6167,-73.65,283.33,68,100,2.25,CL,1687124899
45,ushuaia,-54.8,-68.3,274.96,87,40,6.17,AR,1687125133
46,carbonear,47.7332,-53.2148,282.6,91,73,4.08,CA,1687125133
47,ribeira grande,38.5167,-28.7,294.69,78,89,1.34,PT,1687125133
48,jamestown,42.097,-79.2353,298.44,39,0,2.24,US,1687124837
49,goure,13.9835,10.2704,309.05,23,89,2.47,NE,1687125134
50,zuunmod,47.7069,106.9528,280.72,93,67,2.79,MN,1687125134
51,papatowai,-46.5619,169.4708,283.92,88,59,4.94,NZ,1687125134
52,puerto natales,-51.7236,-72.4875,275.87,83,43,4.35,CL,1687124889
53,mogadishu,2.0371,45.3438,299.27,83,39,7.37,SO,1687125135
54,namibe,-15.1961,12.1522,291.3,81,2,0.74,AO,1687125135
55,markovo,57.3206,107.0881,287.76,67,12,1.42,RU,1687125135
56,changji,44.0167,87.3167,298.59,27,0,1.0,CN,1687125104
57,tsiombe,-25.3,45.4833,290.18,78,0,2.53,MG,1687125136
58,hobyo,5.3505,48.5268,298.45,86,72,10.2,SO,1687125136
59,tazacorte,28.629,-17.9293,295.69,94,0,4.63,ES,1687125136
60,avarua,-21.2078,-159.775,299.18,94,75,2.06,CK,1687125136
61,ust-nera,64.5667,143.2,289.87,48,1,0.96,RU,1687125137
62,bethel,41.3712,-73.414,299.2,56,75,3.09,US,1687125006
63,fisterra,42.9049,-9.2629,290.79,90,89,2.88,ES,1687125137
64,badger,64.8,-147.5333,292.88,51,100,7.72,US,1687125138
65,mejit,10.2753,170.8646,301.18,79,100,7.07,MH,1687125138
66,kapa'a,22.0752,-159.319,301.59,72,20,4.12,US,1687125138
67,tofol,5.3248,163.0078,301.36,73,72,4.09,FM,1687125139
68,anadyr,64.75,177.4833,283.43,61,0,6.0,RU,1687125139
69,iqaluit,63.7506,-68.5145,278.0,65,40,2.57,CA,1687125139
70,flying fish cove,-10.4217,105.6791,297.97,94,100,2.57,CX,1687125139
71,guerrero negro,27.9769,-114.0611,295.9,58,98,7.02,MX,1687125131
72,imishli,39.8709,48.06,294.62,74,71,3.02,AZ,1687125140
73,tura,25.5198,90.2201,295.7,97,100,1.92,IN,1687125140
74,ambon,-3.6954,128.1814,302.17,94,40,2.06,ID,1687125140
75,qamdo,31.1667,97.2333,278.2,83,98,2.43,CN,1687125140
76,campoverde,-8.4753,-74.8058,299.98,69,98,0.51,PE,1687125141
77,phan rang-thap cham,11.5667,108.9833,298.09,82,100,2.0,VN,1687125141
78,vallenar,-28.5708,-70.7581,289.18,62,44,2.87,CL,1687125141
79,komatipoort,-25.4332,31.9548,289.11,73,0,1.81,ZA,1687125141
80,taulaga,-11.0553,-171.0883,301.17,74,8,3.89,AS,1687125142
81,milagros,12.2181,123.5095,299.82,85,55,2.39,PH,1687125142
82,villa gesell,-37.2639,-56.973,282.15,72,7,3.54,AR,1687125142
83,edinburgh of the seven seas,-37.0676,-12.3116,286.04,82,100,9.49,SH,1687125142
84,kone,-21.0595,164.8658,295.1,62,10,1.73,NC,1687125143
85,barah,13.7,30.3667,302.02,54,39,5.66,SD,1687125143
86,san antonio de pale,-1.4014,5.6325,298.07,84,98,6.42,GQ,1687125143
87,port mathurin,-19.6833,63.4167,296.3,66,93,7.71,MU,1687125144
88,mili,6.0815,171.735,301.75,78,83,6.43,MH,1687125144
89,lagoa,39.05,-27.9833,292.07,93,70,4.67,PT,1687125144
90,meadow lake,34.8014,-106.5436,307.21,9,0,9.2,US,1687125144
91,sant'antioco,39.0664,8.4522,294.59,62,87,4.62,IT,1687124922
92,fort bragg,35.139,-79.006,306.38,37,0,2.06,US,1687125145
93,ilulissat,69.2167,-51.1,278.16,48,20,3.6,GL,1687125145
94,hermanus,-34.4187,19.2345,288.04,71,61,12.73,ZA,1687125145
95,atafu village,-8.5421,-172.5159,301.47,74,14,5.18,TK,1687125145
96,kapiri mposhi,-13.9652,28.6809,283.63,45,0,2.32,ZM,1687125146
97,halifax,44.6453,-63.5724,286.09,96,100,6.69,CA,1687124879
98,tidjikja,18.5564,-11.4271,308.61,24,21,8.11,MR,1687125146
99,stanley,54.868,-1.6985,288.44,94,75,3.6,GB,1687125146
100,tamanrasset,22.785,5.5228,302.1,23,40,8.23,DZ,1687125146
101,bilibino,68.0546,166.4372,287.04,44,43,3.37,RU,1687125147
102,kailua-kona,19.6406,-155.9956,301.81,76,40,5.66,US,1687125147
103,blackmans bay,-43.0167,147.3167,279.67,71,7,4.62,AU,1687125147
104,dakhla,23.6848,-15.958,295.16,78,1,7.72,EH,1687125147
105,crane,31.3974,-102.3501,312.41,10,1,4.82,US,1687125148
106,phan thiet,10.9333,108.1,297.85,87,100,3.72,VN,1687125148
107,el fasher,13.6279,25.3494,303.67,42,79,4.22,SD,1687125148
108,st. john's,47.5649,-52.7093,282.35,90,75,3.09,CA,1687125148
109,albany,42.6001,-73.9662,294.55,78,73,1.76,US,1687124957
110,port saint john's,-31.6229,29.5448,289.94,86,6,4.51,ZA,1687125149
111,smithers,54.7804,-127.1743,288.33,47,75,6.17,CA,1687125149
112,kuzhener,56.8111,48.9128,277.27,81,10,3.17,RU,1687125149
113,konstantinovsk,47.5828,41.0922,290.39,65,6,5.12,RU,1687125150
114,domerat,46.3606,2.5343,291.63,97,57,1.65,FR,1687125150
115,jiazi,22.8779,116.067,299.97,89,96,3.42,CN,1687125150
